127.0.0.1 - - [28/Apr/2018:15:12:13 +0800] "GET /banner-product1.jpg HTTP/1.1" 200 188554 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
127.0.0.1 - - [28/Apr/2018:15:59:12 +0800] "POST /upload HTTP/1.0" 500 537 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
